# ----------------------------------------
# First Time Visitors
# Campagin Performance-Free form 1
# 20250401-20250714
# ----------------------------------------

Source / medium,Campaign,Landing page,Device category,Event name,Sessions,Bounce rate,Engagement rate,Key events
facebook / paid,(referral),/products/elegant-cream-grey-printed-co-ord-set-for-effortless-style,mobile,add_to_cart,1,0,1,1
facebook / paid,(referral),/products/elegant-lime-green-georgette-salwar-suit-set,mobile,add_to_cart,2,0,1,3.991347
facebook / paid,(referral),/products/elegant-yellow-embroidered-anarkali-suit,mobile,add_to_cart,1,0,1,2.930898
facebook / paid,(referral),/products/elegant-yellow-embroidered-anarkali-suit,mobile,begin_checkout,1,0,1,0.976621
facebook / paid,(referral),/products/embroidered-kurta-set-with-organza-dupatta-a-line-viscose-rayon,mobile,add_to_cart,1,0,1,4
facebook / paid,(referral),/products/ethereal-beauty-white-embroidered-salwar-kameez-with-sheer-floral-dupatta,mobile,add_to_cart,3,0,1,6.887325
facebook / paid,(referral),/products/golden-glow-yellow-embroidered-salwar-kameez-with-pink-highlights,mobile,add_to_cart,1,0,1,3
facebook / paid,(referral),/products/purple-monga-silk-jacquard-kurta-palazzo-set-💕,mobile,add_to_cart,1,0,1,3
facebook / paid,120222398482490154,/,mobile,add_to_cart,1,0,1,1.062906
facebook / paid,120222398482490154,/,mobile,begin_checkout,1,0,1,0.097436
facebook / paid,120222398482490154,/products/beige-cotton-embroidered-suit-salwaar,mobile,add_to_cart,1,0,1,3
facebook / paid,120222398482490154,/products/designer-chinon-silk-palazzo-suit-perfect-for-festivals,mobile,add_to_cart,1,0,1,3
facebook / paid,120222398482490154,/products/serene-sky-blue-kurti-palazzo-ensemble,mobile,add_to_cart,1,0,1,3
facebook / paid,120227934035310154,/,mobile,add_to_cart,15,0,1,48.679034
facebook / paid,120227934035310154,/,mobile,begin_checkout,6,0,1,8.958191
facebook / paid,120227934035310154,/,mobile,purchase,1,0,1,1
facebook / paid,120227934035310154,/products/golden-yellow-celeste-shimmer-tissue-sarees,mobile,add_to_cart,1,0,1,3
google / cpc,PMax: Shopping ecommerce campaign,/,mobile,add_to_cart,1,0,1,0
google / cpc,Sales ad - New Catalog,/products/cotton-blend-straight-printed-kurta-with-pant,desktop,add_to_cart,1,0,1,3
google / cpc,Sales ad - New Catalog,/products/embroidered-kurta-set-with-organza-dupatta-a-line-viscose-rayon,mobile,add_to_cart,1,0,1,3
google / organic,(organic),/,desktop,add_to_cart,4,0,1,3.063372
google / organic,(organic),/,desktop,begin_checkout,3,0,1,1.029134
google / organic,(organic),/,mobile,add_to_cart,8,0,1,34.365265
google / organic,(organic),/,mobile,begin_checkout,3,0,1,3.994792
google / organic,(organic),/,mobile,purchase,2,0,1,1.988113
google / organic,(organic),/cart,mobile,add_to_cart,1,0,1,3
google / organic,(organic),/cart,mobile,begin_checkout,3,0,1,3
google / organic,(organic),/cart,mobile,purchase,1,0,1,1
google / organic,(organic),/products/a-line-black-white-dress,desktop,add_to_cart,1,0,1,0
google / organic,(organic),/products/a-line-black-white-dress,desktop,begin_checkout,1,0,1,0
google / product_sync,sag_organic,/,desktop,add_to_cart,1,0,1,0.095172
l.facebook.com / paid,120227934035310154,/,mobile,add_to_cart,1,0,1,0.999999
l.facebook.com / referral,(referral),/,desktop,add_to_cart,4,0,1,3.707196
l.facebook.com / referral,(referral),/,desktop,begin_checkout,3,0,1,0
l.facebook.com / referral,(referral),/,mobile,add_to_cart,5,0,1,6
l.facebook.com / referral,(referral),/,mobile,begin_checkout,5,0,1,4
l.facebook.com / referral,(referral),/en-in,desktop,add_to_cart,1,0,1,0
l.facebook.com / referral,(referral),/products/a-line-black-white-dress,desktop,add_to_cart,1,0,1,0
l.facebook.com / referral,(referral),/products/a-line-black-white-dress,desktop,begin_checkout,1,0,1,0
l.facebook.com / referral,(referral),/products/elegant-lime-green-georgette-salwar-suit-set,mobile,add_to_cart,1,0,1,0
l.facebook.com / referral,(referral),/products/ethereal-beauty-white-embroidered-salwar-kameez-with-sheer-floral-dupatta,mobile,add_to_cart,1,0,1,0
l.instagram.com / referral,(referral),/,mobile,add_to_cart,6,0,1,28.188718
l.instagram.com / referral,(referral),/,mobile,begin_checkout,3,0,1,1.292308
lm.facebook.com / referral,(referral),/,mobile,add_to_cart,1,0,1,3
lm.facebook.com / referral,(referral),/,mobile,begin_checkout,2,0,1,2
m.facebook.com / referral,(referral),/,mobile,add_to_cart,4,0,1,16.064214
portal.vetta.online / referral,(referral),/,desktop,add_to_cart,3,0,1,0.899353
portal.vetta.online / referral,(referral),/,desktop,begin_checkout,3,0,1,1.974064
portal.vetta.online / referral,(referral),/en-in,desktop,add_to_cart,1,0,1,0
portal.vetta.online / referral,(referral),/products/a-line-black-white-dress,desktop,add_to_cart,1,0,1,0
portal.vetta.online / referral,(referral),/products/a-line-black-white-dress,desktop,begin_checkout,1,0,1,0.333333
shopify_email / email,Celebrate Her Love with 10% Off – Limited Time Only!_127036948529,/products/designer-chinon-party-wear-dress-mirror-embroidery-work-1,mobile,add_to_cart,1,0,1,9
shopify_email / email,Did something catch your eye?_126446043185,/products/timeless-charm-navy-blue-embroidered-salwar-kameez-with-vibrant-floral-dupatta,mobile,add_to_cart,1,0,1,4
shopify_email / email,New Arrivals Just Landed! Shop Exclusive Styles Now!_126736171057,/,desktop,add_to_cart,2,0,1,0
shopify_email / email,New Arrivals Just Landed! Shop Exclusive Styles Now!_126736171057,/,desktop,begin_checkout,1,0,1,0
shopify_email / email,New Arrivals Just Landed! Shop Exclusive Styles Now!_126736171057,/,mobile,add_to_cart,1,0,1,0
shopify_email / email,New Arrivals Just Landed! Shop Exclusive Styles Now!_126736171057,/,mobile,begin_checkout,1,0,1,0
shopify_email / email,New Arrivals Just Landed! Shop Exclusive Styles Now!_126736171057,/,mobile,purchase,1,0,1,0
shopify_email / email,New! Visit Our Studio & Try Before You Buy! 🌟_126844239921,/,desktop,add_to_cart,3,0,1,0.00152
shopify_email / email,New! Visit Our Studio & Try Before You Buy! 🌟_126844239921,/,desktop,begin_checkout,3,0,1,0.383942
shopify_email / email,Welcome to the Pacific Mart Family! Here’s Your Discount_126659362865,/,mobile,add_to_cart,1,0,1,3
shopify_email / email,Welcome to the Pacific Mart Family! Here’s Your Discount_126659362865,/products/georgette-traditional-plazzo-suit-for-festivals,mobile,add_to_cart,1,0,1,3
shopify_email / email,You left items in your cart_126037950513,/,desktop,add_to_cart,1,0,1,0
shopify_email / email,_126659362865,/,desktop,add_to_cart,2,0,1,0
shopify_email / email,_126659362865,/,desktop,begin_checkout,1,0,1,0.007192
shopify_email / email,_126659362865,/,mobile,add_to_cart,1,0,1,0
shopify_email / email,_126659362865,/,mobile,begin_checkout,1,0,1,0.004422
shopify_email / email,_126659362865,/,mobile,purchase,1,0,1,0.011887
tagassistant.google.com / referral,(referral),/,desktop,add_to_cart,5,0,1,4.936628
tagassistant.google.com / referral,(referral),/,desktop,begin_checkout,4,0,1,5.952052
tagassistant.google.com / referral,(referral),/,mobile,add_to_cart,1,0,1,0
tagassistant.google.com / referral,(referral),/,mobile,begin_checkout,1,0,1,0.000786
tagassistant.google.com / referral,(referral),/,mobile,purchase,1,0,1,0
tagassistant.google.com / referral,(referral),/en-in,desktop,add_to_cart,1,0,1,0
tagassistant.google.com / referral,(referral),/products/a-line-black-white-dress,desktop,add_to_cart,1,0,1,3
tagassistant.google.com / referral,(referral),/products/a-line-black-white-dress,desktop,begin_checkout,1,0,1,0.666667

